READING_DATETIME,GENERAL_SUPPLY_KWH
2013-08-13,204447.70399999985
2013-08-14,197015.72299999942
2013-08-15,206101.97100000072
2013-08-16,211765.15599999978
2013-08-17,197422.16999999917
2013-08-18,200256.51400000046
2013-08-19,200131.37600000034
2013-08-20,231684.01499999946
2013-08-21,244115.20300000042
2013-08-22,238835.344000001
2013-08-23,225909.86999999903
2013-08-24,199248.6590000015
2013-08-25,198636.99499999927
2013-08-26,192111.12399999952
2013-08-27,184892.75400000007
2013-08-28,180695.67399999965
2013-08-29,177300.49000000028
2013-08-30,162704.95400000067
2013-08-31,170136.82499999995
2013-09-01,175409.65499999953
2013-09-02,168534.61599999893
2013-09-03,166363.79399999918
2013-09-04,165191.93099999963
2013-09-05,161088.92600000027
2013-09-06,157758.08599999998
2013-09-07,163732.75299999994
2013-09-08,172813.067
2013-09-09,161339.85800000047
2013-09-10,159344.97100000066
2013-09-11,154899.2410000006
2013-09-12,155676.33500000037
2013-09-13,165784.918
2013-09-14,167200.3610000007
2013-09-15,176146.2119999991
2013-09-16,185912.01299999992
2013-09-17,168202.39299999934
2013-09-18,159136.30299999932
2013-09-19,155813.0760000004
2013-09-20,163540.27899999978
2013-09-21,166589.84699999972
2013-09-22,166059.25300000003
2013-09-23,159219.61299999943
2013-09-24,156400.70699999997
2013-09-25,160157.30799999874
2013-09-26,161544.50299999944
2013-09-27,150482.85399999993
2013-09-28,156860.33300000004
2013-09-29,157208.36400000082
2013-09-30,156561.97000000055
2013-10-01,157082.0980000005
2013-10-02,150738.2070000001
2013-10-03,161630.73799999987
2013-10-04,159444.2009999996
2013-10-05,155872.41000000012
2013-10-06,164651.2889999999
2013-10-07,162821.190999999
2013-10-08,153404.12200000038
2013-10-09,153223.00100000078
2013-10-10,186417.82999999923
2013-10-11,154775.23899999965
2013-10-12,163896.32400000052
2013-10-13,208615.8639999997
2013-10-14,154781.14799999964
2013-10-15,149360.09300000017
2013-10-16,150602.1679999996
2013-10-17,171711.1760000001
2013-10-18,149703.46200000044
2013-10-19,153876.11799999967
2013-10-20,169067.47900000017
2013-10-21,193448.92100000012
2013-10-22,176564.93899999963
2013-10-23,210340.72999999954
2013-10-24,154615.01799999937
2013-10-25,145761.63100000063
2013-10-26,152884.5560000007
2013-10-27,159965.8330000001
2013-10-28,154439.0759999999
2013-10-29,158858.05700000055
2013-10-30,150122.9039999998
2013-10-31,147500.92699999994
2013-11-01,148101.47399999984
2013-11-02,170937.02700000003
2013-11-03,186630.38899999918
2013-11-04,152436.11399999852
2013-11-05,150090.19900000037
2013-11-06,148982.34399999928
2013-11-07,159994.86500000002
2013-11-08,199865.06099999993
2013-11-09,198211.36400000053
2013-11-10,166511.63199999984
2013-11-11,163375.25599999903
2013-11-12,156122.69900000063
2013-11-13,153585.1749999993
2013-11-14,151878.05099999974
2013-11-15,151247.68900000083
2013-11-16,158181.8249999995
2013-11-17,182441.3529999999
2013-11-18,174094.15700000038
2013-11-19,155080.11499999958
2013-11-20,154042.67299999943
2013-11-21,157502.81999999916
2013-11-22,158204.29199999993
2013-11-23,163865.8689999999
2013-11-24,159531.62799999947
2013-11-25,154241.41500000044
2013-11-26,147720.0990000008
2013-11-27,146146.56800000067
2013-11-28,165657.89799999978
2013-11-29,158020.88899999962
2013-11-30,153935.09399999995
2013-12-01,156876.9649999997
2013-12-02,150167.55499999982
2013-12-03,152320.57699999967
2013-12-04,177125.07099999918
2013-12-05,154355.3980000006
2013-12-06,142850.60300000058
2013-12-07,151837.92799999978
2013-12-08,168307.72200000024
2013-12-09,199874.5970000011
2013-12-10,225644.43799999982
2013-12-11,183583.6999999993
2013-12-12,168161.8239999998
2013-12-13,181675.59999999998
2013-12-14,168049.066
2013-12-15,168177.29600000015
2013-12-16,161920.89000000095
2013-12-17,162955.3060000006
2013-12-18,163369.9850000001
2013-12-19,174392.42299999998
2013-12-20,268393.07899999985
2013-12-21,215158.6119999996
2013-12-22,278273.8280000001
2013-12-23,261722.51600000157
2013-12-24,173969.5409999993
2013-12-25,165462.42700000023
2013-12-26,159161.21199999985
2013-12-27,157840.37799999994
2013-12-28,166718.53500000044
2013-12-29,155788.21599999996
2013-12-30,151353.5539999997
2013-12-31,161182.75999999966
2014-01-01,178555.38299999989
2014-01-02,224344.8859999995
2014-01-03,191470.43099999943
2014-01-04,183039.569999999
2014-01-05,193980.4649999999
2014-01-06,176708.8620000004
2014-01-07,147518.43600000013
2014-01-08,143049.7929999992
2014-01-09,143444.16199999928
2014-01-10,152701.99500000008
2014-01-11,196919.3150000003
2014-01-12,199809.5569999989
2014-01-13,169211.44400000043
2014-01-14,179411.98200000002
